Genes,Gene_type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
RNF169,1,-0.14982215,0.15302294,0.07805704,-0.0042769457,0.15197663,-0.3770264,0.08652156,0.567112,-0.23121423,0.05304712,-0.21398164,-0.31815013,-0.017055226,0.12800577,0.018228807,-0.17419645,0.021188166,-0.34363493,-0.024989251,-0.5616824,0.052705094,0.1762455,0.18961065,-0.09878232,-0.09245451,-0.0037316487,-0.29433843,-0.27590024,-0.107750736,0.008483823,0.38629135,0.08752367,0.10249747,0.0025932179,-0.13260256,0.30810505,-0.0751241,-0.40550753,-0.36463943,-0.52762127,-0.115524024,-0.18693681,0.013028951,-0.0349976,0.2504195,-0.18954763,-0.14154768,0.075015984,0.13786903,0.118097104,0.18150958,-0.28641048,-0.11075549,0.015756037,-0.32765684,0.1986227,0.1634845,-0.01858542,-0.3216334,0.06748259,0.026284074,0.10298408,-0.21838854,-0.17066003,-0.48775193,0.062185828,0.094360866,0.16665423,-0.3464581,0.21099284,-0.19167818,-0.061795257,0.26262265,-0.16657454,0.07456876,0.18948393,-0.086277284,-0.055682853,-0.19063865,0.2616672,0.00685911,-0.20410904,-0.25392792,0.4934618,0.007393275,0.09717426,-0.16444331,0.5295922,0.29553214,0.055261705,0.37401068,0.06933422,-0.16138077,0.046709556,0.34661344,0.3487682,0.027909799,-0.42381674,0.18920833,-0.2045699
HERC2,1,-0.16578159,0.17517926,0.075156555,0.016300507,0.172208,-0.4024284,0.09119129,0.59992313,-0.25136942,0.06972866,-0.23211434,-0.32826596,-0.029187996,0.13283099,0.019243483,-0.20018445,0.018600272,-0.36831552,-0.030312244,-0.586258,0.052567024,0.18047391,0.19330622,-0.11761075,-0.107306294,-0.021103768,-0.32896966,-0.28305903,-0.12524736,0.0074614473,0.41626263,0.08495104,0.100142576,0.002003405,-0.14748,0.32972208,-0.07891117,-0.4298476,-0.38386703,-0.5785656,-0.1273053,-0.20767094,0.022368174,-0.033600464,0.27865404,-0.19126406,-0.13816075,0.08602294,0.15514104,0.13532232,0.20715499,-0.31441206,-0.1012717,0.0266047,-0.36626107,0.21579345,0.17271322,-0.01986457,-0.36503455,0.06825886,0.04398563,0.119372934,-0.23545478,-0.19116816,-0.5195913,0.06437215,0.12235982,0.19901475,-0.39035243,0.2375446,-0.2161108,-0.06866616,0.2910176,-0.18586232,0.08299434,0.20371495,-0.11442278,-0.051939096,-0.20535427,0.270923,-0.005134822,-0.22520146,-0.2846697,0.52222985,0.029967288,0.10255171,-0.18259089,0.55976737,0.3082538,0.057185147,0.39318234,0.0726078,-0.18468656,0.044550404,0.38729718,0.37465835,0.0106381355,-0.45039368,0.19676714,-0.21296172
AFF2,1,-0.16340007,0.14403066,0.080276415,-0.003155862,0.1634554,-0.36928067,0.0816445,0.56192017,-0.22217797,0.05364949,-0.22971657,-0.3141393,-0.035633408,0.12782507,0.007068808,-0.18745023,0.020615924,-0.33621785,-0.017656198,-0.54546654,0.056738816,0.17540744,0.1816844,-0.09094351,-0.09222797,0.0017101003,-0.30676693,-0.2571574,-0.120423496,0.013631157,0.37791076,0.096121766,0.09395794,-0.00087020715,-0.14646776,0.29671678,-0.08128177,-0.4119866,-0.3557659,-0.5259501,-0.11655189,-0.1839519,0.01748261,-0.043209847,0.25471893,-0.18503624,-0.12595956,0.06749037,0.1391016,0.12439805,0.19550607,-0.29377213,-0.09942542,0.009479143,-0.33043683,0.1924763,0.1587423,-0.017552633,-0.32172528,0.0707508,0.028107928,0.095615424,-0.2082524,-0.17081128,-0.47613108,0.05853759,0.11301605,0.17763604,-0.36278847,0.22294879,-0.19304031,-0.0627153,0.27153754,-0.18155858,0.07226864,0.1820875,-0.088531464,-0.05532051,-0.19373423,0.2529175,-0.014745184,-0.20855352,-0.26045185,0.49488974,0.011497998,0.088653944,-0.14833431,0.52018225,0.2751226,0.049931742,0.3648498,0.06718239,-0.1526934,0.033851545,0.3578133,0.35634252,0.026879905,-0.40150023,0.1904105,-0.19002503
MUTYH,1,-0.1854925,0.17324977,0.06611614,0.004771852,0.1624642,-0.40218952,0.08489828,0.5779441,-0.24679148,0.07273073,-0.2442169,-0.323932,-0.04097589,0.13111319,0.02600014,-0.18665436,0.03204611,-0.3566361,-0.022343816,-0.58507144,0.06284495,0.19793849,0.20044333,-0.099363625,-0.08911119,-0.0071580694,-0.3300188,-0.3012565,-0.12536208,0.013536102,0.4244672,0.10415173,0.1083788,-0.002101935,-0.13876924,0.32379368,-0.0912862,-0.41948092,-0.3739224,-0.567681,-0.12245427,-0.20552723,0.026706604,-0.041747186,0.2735459,-0.19365047,-0.1518005,0.08138549,0.16420361,0.122945026,0.19768938,-0.3042991,-0.11249072,0.029019402,-0.35751575,0.2157119,0.1795871,-0.027797984,-0.35798043,0.08013848,0.04981913,0.12539807,-0.23207243,-0.17764501,-0.50207424,0.05386641,0.11910692,0.19113392,-0.36520636,0.22862294,-0.210733,-0.08487801,0.27606845,-0.1849257,0.08939413,0.20194973,-0.11123197,-0.054307837,-0.19904278,0.27042374,0.0008350235,-0.23914763,-0.26346296,0.5272008,0.028235478,0.108279586,-0.16781951,0.5689106,0.29754886,0.04419558,0.39436835,0.0777041,-0.17023711,0.0443406,0.3710328,0.37576717,0.029647777,-0.45340732,0.19781871,-0.20029141
HMGB2,1,-0.16329089,0.17284803,0.07955788,-0.0019921607,0.1807311,-0.4083531,0.1020569,0.6078492,-0.24015087,0.05672972,-0.23091842,-0.34811455,-0.034258,0.13470776,0.0070283115,-0.19010435,0.030863693,-0.3724042,-0.026562236,-0.5963828,0.07334626,0.19643794,0.19705084,-0.11052645,-0.10670798,-0.0067267236,-0.32064506,-0.294821,-0.11662313,0.0018857635,0.41001642,0.09980546,0.101761945,-0.0051337867,-0.16061911,0.32483718,-0.0724023,-0.43500903,-0.38921553,-0.5659263,-0.11459072,-0.2076252,0.030004116,-0.03985695,0.2910416,-0.18285906,-0.1536546,0.07932529,0.15858461,0.13478956,0.20875853,-0.30810925,-0.104549974,0.0070935725,-0.35887098,0.20805983,0.19246997,-0.017961351,-0.3606531,0.07284468,0.03504298,0.10663413,-0.2343204,-0.18435186,-0.51118344,0.069064304,0.107319616,0.18690993,-0.38302374,0.23389412,-0.21931276,-0.085790925,0.29553023,-0.19273624,0.07792679,0.18384999,-0.09224921,-0.05083405,-0.19703466,0.2772541,-0.010319871,-0.23301977,-0.27977797,0.51348025,0.025733048,0.098678306,-0.16319756,0.5754363,0.3045192,0.047563724,0.4032935,0.074771225,-0.16883221,0.05593528,0.38967204,0.37672406,0.017210633,-0.4412172,0.19524956,-0.20834637
PIF1,1,-0.16035102,0.15058847,0.070638545,0.015262363,0.14923663,-0.37399986,0.0813628,0.5506159,-0.2359407,0.06700404,-0.22178237,-0.31689143,-0.03171973,0.13729413,0.0060674376,-0.18283176,0.012451424,-0.32897228,-0.023951644,-0.5346797,0.058523405,0.18034826,0.1718623,-0.09939958,-0.095200785,-0.009705865,-0.29213253,-0.2534822,-0.11591747,-0.006460521,0.37531635,0.08450677,0.09420981,0.012431134,-0.14494634,0.3104838,-0.06649249,-0.40749833,-0.3620894,-0.50685173,-0.102848694,-0.19320224,0.012847263,-0.02979352,0.25888264,-0.1634142,-0.13950488,0.058877233,0.14599507,0.107642904,0.17583638,-0.28631836,-0.08601829,0.025625963,-0.3218251,0.1985492,0.1743918,-0.021415934,-0.31216693,0.06853042,0.040413354,0.09339007,-0.21873674,-0.17436314,-0.4559262,0.049786367,0.094968595,0.18337685,-0.34060916,0.22301415,-0.2008059,-0.06927074,0.26694667,-0.17460902,0.07790025,0.18081732,-0.08744407,-0.047171466,-0.18042795,0.24057156,-0.011253431,-0.21576482,-0.25948837,0.4739,0.009377906,0.089328825,-0.15743026,0.50463855,0.2867587,0.05949895,0.3505214,0.068629794,-0.16297783,0.036924295,0.34220415,0.35400563,0.022743095,-0.3894615,0.18580991,-0.18760091
MSH4,1,-0.15312423,0.13780756,0.077168204,0.009032445,0.16193543,-0.3627369,0.081597894,0.5550907,-0.2239285,0.06109209,-0.2233914,-0.31792042,-0.035142306,0.13889171,0.0025883575,-0.16881333,0.011584001,-0.33516827,-0.029660968,-0.54373443,0.06382406,0.1790597,0.18102165,-0.09454484,-0.08917308,0.0021125772,-0.28450236,-0.2748382,-0.11893742,0.0065447027,0.38585144,0.08442609,0.09164743,-0.008773396,-0.1366114,0.30816248,-0.06466855,-0.40492743,-0.36233613,-0.530625,-0.11020319,-0.19312623,0.014031564,-0.03213472,0.26679504,-0.17653434,-0.14591716,0.06826684,0.14843065,0.11677214,0.17883344,-0.29636475,-0.10113795,0.017268844,-0.323683,0.201312,0.1571421,-0.03458142,-0.33685264,0.06266861,0.04187161,0.10970972,-0.21823822,-0.16624486,-0.46989802,0.062106054,0.09370014,0.18288818,-0.3461295,0.22278637,-0.18528199,-0.06165433,0.26638225,-0.1725451,0.074555054,0.16708802,-0.08647034,-0.055990417,-0.17130993,0.24795702,-0.0031539681,-0.22837274,-0.26445076,0.4640003,0.01073493,0.09241643,-0.16762254,0.51321626,0.2738198,0.042741474,0.3641158,0.07063383,-0.14707181,0.04906867,0.34645152,0.35520583,0.0031831881,-0.41317135,0.17458059,-0.18689863
MSH5,1,-0.1626061,0.16731241,0.077860214,0.001979479,0.17509387,-0.39600405,0.10134257,0.5849039,-0.2460921,0.060569346,-0.23761865,-0.33516994,-0.016027153,0.13303514,0.019790959,-0.20175698,0.025833437,-0.35848776,-0.018793132,-0.57817054,0.06721186,0.17539133,0.18228833,-0.110461615,-0.09850884,-0.015477266,-0.31268707,-0.291147,-0.12154994,0.0070344554,0.40670344,0.10154581,0.087284565,-0.0018470944,-0.14084414,0.33222818,-0.08681241,-0.42048016,-0.367433,-0.5580232,-0.108910695,-0.21120778,0.03101182,-0.03481371,0.2761099,-0.19423233,-0.14754322,0.07410873,0.14961301,0.12725912,0.20631145,-0.29146335,-0.10010687,0.012561247,-0.33471254,0.20898893,0.17735888,-0.020743378,-0.35382324,0.06900264,0.03348299,0.1036666,-0.24220781,-0.18185751,-0.49311578,0.060624797,0.10782492,0.18947813,-0.36233583,0.22337236,-0.2026977,-0.083202794,0.28477636,-0.17230515,0.08685777,0.1939652,-0.092052564,-0.04291988,-0.18210873,0.27721918,-0.0084702745,-0.22254467,-0.2649187,0.4991779,0.03010439,0.10009559,-0.15555811,0.5557087,0.30777362,0.05260198,0.38573322,0.07421018,-0.16167082,0.040722735,0.38190404,0.37926364,0.013584935,-0.4349047,0.19886237,-0.21490276
EXO1,1,-0.16038232,0.14831175,0.06820174,0.012277158,0.17514727,-0.40597108,0.09605835,0.5992322,-0.25211412,0.06060544,-0.24201761,-0.33396268,-0.026035558,0.15250166,0.019047467,-0.19611087,0.025027005,-0.35169184,-0.017206568,-0.5721189,0.06798587,0.17658459,0.1939739,-0.11211848,-0.090888284,-0.014054618,-0.32696143,-0.27862638,-0.11535146,0.004334503,0.42577302,0.09712648,0.09676423,0.0017448507,-0.15124299,0.32685372,-0.07595404,-0.43087274,-0.37127873,-0.57590264,-0.123062015,-0.2090197,0.03124595,-0.04037404,0.27714536,-0.1863183,-0.15438206,0.07869436,0.16437219,0.12468964,0.19611977,-0.318411,-0.11505052,0.014326506,-0.34840372,0.22317441,0.17106292,-0.021447169,-0.34323442,0.07086398,0.04223889,0.12126869,-0.2252082,-0.17907076,-0.5142998,0.07250884,0.11650587,0.19700441,-0.3770604,0.23948814,-0.20152777,-0.08246405,0.29149997,-0.18336229,0.08943145,0.18822782,-0.10685655,-0.04443451,-0.20549737,0.26240334,-0.013370913,-0.23660529,-0.27854738,0.51927024,0.031618793,0.09462053,-0.1665772,0.560888,0.29824254,0.04574838,0.39203617,0.06304407,-0.1653776,0.055451833,0.38311338,0.38174185,0.018868318,-0.44752702,0.20429027,-0.21137697
CDC25A,1,-0.16665748,0.1707753,0.08033482,0.013969254,0.16275229,-0.40265176,0.10370739,0.60962707,-0.24874625,0.06166023,-0.24307694,-0.34079787,-0.021948019,0.1452275,0.014103045,-0.19727784,0.033149354,-0.3787466,-0.03584573,-0.6012272,0.05980738,0.19521415,0.18996759,-0.11355836,-0.10826749,-0.0028853565,-0.3269316,-0.29966086,-0.121538065,0.019256849,0.4214622,0.09470073,0.10396995,-0.00015162663,-0.16687177,0.34639335,-0.08627117,-0.45040348,-0.39422432,-0.58689606,-0.119463906,-0.19691262,0.028009435,-0.034996606,0.28899038,-0.19267848,-0.15447488,0.067190185,0.16051717,0.13165388,0.1951014,-0.32022563,-0.12677838,0.012127888,-0.35540572,0.2279198,0.18846513,-0.020595573,-0.35276398,0.06461578,0.03911002,0.101323426,-0.2387041,-0.19377983,-0.5168338,0.07328,0.10593205,0.18519486,-0.3964429,0.23582073,-0.2190723,-0.076352194,0.29572505,-0.19483736,0.078159906,0.19827494,-0.09905733,-0.04886424,-0.20278183,0.27738845,-0.012409223,-0.24011081,-0.28232324,0.52671945,0.027234819,0.09686746,-0.16952072,0.5686421,0.30934522,0.04862863,0.39366508,0.07803403,-0.18314281,0.056477748,0.3779243,0.38331902,0.0061666984,-0.44136778,0.20785584,-0.20396286
